31/08/2018 09:59:37=> readTableData :SELECT [Lang_Select] FROM [LANG_Select] WHERE [Id_]='1':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='rib_Main':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='M_Setting':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='rib_Report':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='rib_User':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='rib_Main':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='M_Setting':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='rib_Report':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='rib_User':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='nfrmNew_Display':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='ButtonItem112':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='ButtonItem113':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='ButtonItem109':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='mBtn_Exit':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='nMas_Floor':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='ButtonItem96':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='ButtonItem100':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='ButtonItem99':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
31/08/2018 09:59:37=> readTableData :SELECT Label_name,TH FROM LANG_Discription WHERE [Form_name]='frmMain_Menu_NEW' and Label_name='ButtonItem97':A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)
